address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
502 Anita Street 36 # 36,Chula Vista,CA,91911,179900,1474.0,3.0,2.0,NA,Home For Sale,http://www.zillow.com/homes/for_sale//homedetails/502-Anita-Street-36-36-Chula-Vista-CA-91911/2092992516_zpid/
29 E Naples St,Chula Vista,CA,91911,445000,1050.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/29-E-Naples-St-Chula-Vista-CA-91911/17110966_zpid/
1100 Industrial Blvd SPC I33,Chula Vista,CA,91911,69900,1200.0,2.0,2.0,NA,Home For Sale,http://www.zillow.com/homes/for_sale//homedetails/1100-Industrial-Blvd-SPC-I33-Chula-Vista-CA-91911/2092557531_zpid/
580 Portsmouth Dr UNIT C,Chula Vista,CA,91911,370000,1332.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/580-Portsmouth-Dr-UNIT-C-Chula-Vista-CA-91911/17187071_zpid/
488 Emerson St,Chula Vista,CA,91911,525000,2259.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/488-Emerson-St-Chula-Vista-CA-91911/17151667_zpid/
1002 5th Ave,Chula Vista,CA,91911,525500,1488.0,3.0,2.0,NA,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/1002-5th-Ave-Chula-Vista-CA-91911/17151525_zpid/
1562 Loma Ln,Chula Vista,CA,91911,539900,2116.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1562-Loma-Ln-Chula-Vista-CA-91911/17158608_zpid/
195 E Naples St,Chula Vista,CA,91911,399000,1681.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/195-E-Naples-St-Chula-Vista-CA-91911/17111045_zpid/
1577 Oleander Ave,Chula Vista,CA,91911,574900,1854.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1577-Oleander-Ave-Chula-Vista-CA-91911/17158232_zpid/
1370 Judson Way,Chula Vista,CA,91911,450000,1452.0,4.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1370-Judson-Way-Chula-Vista-CA-91911/17153663_zpid/
601 Point Caiman Ct,Chula Vista,CA,91911,599000,2399.0,4.0,3.0,NA,Coming Soon,http://www.zillow.com/homes/for_sale//homedetails/601-Point-Caiman-Ct-Chula-Vista-CA-91911/17187263_zpid/
1510 Engleman Ct,Chula Vista,CA,91911,680000,2863.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1510-Engleman-Ct-Chula-Vista-CA-91911/51080776_zpid/
418 1/2 Naples St,Chula Vista,CA,91911,549000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/418-1-2-Naples-St-Chula-Vista-CA-91911/2092599825_zpid/
